id,marca,modelo,descripcion,voltaje,capacidad_Ah,CCA_A,RC_min,largo_mm,ancho_mm,alto_mm,origen,norma,licencia_inti,fecha_emision,fecha_vencimiento,titular,cuit_titular,domicilio_titular,extiende,cuit_extiende,certificado_pdf_url,url_ficha_publica
1,VARTA,VA150TD,Bateria de plomo-acido para arranque,12,150,900,290,511,213,236,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA150TD
2,VARTA,VPA150TD,Bateria de plomo-acido para arranque,12,150,900,290,511,213,236,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VPA150TD
3,VARTA,VA180TD,Bateria de plomo-acido para arranque,12,180,950,300,511,213,236,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA180TD
4,VARTA,VPA180TD,Bateria de plomo-acido para arranque,12,180,950,300,511,213,236,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VPA180TD
5,VARTA,VA200TD,Bateria de plomo-acido para arranque,12,200,1100,360,517,275,236,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA200TD
6,VARTA,VA34JD,Bateria de plomo-acido para arranque,12,34,290,36,187,127,225,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA34JD
7,VARTA,VA38JD,Bateria de plomo-acido para arranque,12,38,320,44,187,127,225,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA38JD
8,VARTA,VA225TE,Bateria de plomo-acido para arranque,12,225,1050,450,517,275,236,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA225TE
9,VARTA,VFA180TE,Bateria de plomo-acido para arranque,12,180,1050,360,513,223,218,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VFA180TE
10,VARTA,VFA180TD,Bateria de plomo-acido para arranque,12,180,1050,360,513,223,218,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VFA180TD
11,VARTA,VA75LE,Bateria de plomo-acido para arranque,12,75,530,82,273,173,226,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA75LE
